,filename,bounding_boxes
0,..\MarioNet64_Color\frame_1352.jpg,"[(670, 153, 22, 24)]"
1,..\MarioNet64_Color\frame_1352.jpg,[1]
2,..\MarioNet64_Color\frame_1353.jpg,"[(670, 153, 22, 24)]"
3,..\MarioNet64_Color\frame_1353.jpg,[1]
4,..\MarioNet64_Color\frame_1354.jpg,"[(676, 150, 23, 26)]"
5,..\MarioNet64_Color\frame_1354.jpg,[1]
6,..\MarioNet64_Color\frame_1355.jpg,"[(676, 150, 23, 26)]"
7,..\MarioNet64_Color\frame_1355.jpg,[1]
8,..\MarioNet64_Color\frame_1356.jpg,"[(682, 151, 32, 18)]"
9,..\MarioNet64_Color\frame_1356.jpg,[1]
10,..\MarioNet64_Color\frame_1357.jpg,"[(682, 151, 34, 18)]"
11,..\MarioNet64_Color\frame_1357.jpg,[1]
12,..\MarioNet64_Color\frame_1358.jpg,"[(694, 149, 26, 20)]"
13,..\MarioNet64_Color\frame_1358.jpg,[1]
14,..\MarioNet64_Color\frame_1359.jpg,"[(694, 149, 26, 20)]"
15,..\MarioNet64_Color\frame_1359.jpg,[1]
16,..\MarioNet64_Color\frame_1360.jpg,"[(701, 142, 19, 27)]"
17,..\MarioNet64_Color\frame_1360.jpg,[1]
18,..\MarioNet64_Color\frame_1361.jpg,"[(701, 142, 19, 27)]"
19,..\MarioNet64_Color\frame_1361.jpg,[1]
20,..\MarioNet64_Color\frame_1420.jpg,"[(1, 72, 24, 24)]"
21,..\MarioNet64_Color\frame_1420.jpg,[1]
22,..\MarioNet64_Color\frame_1421.jpg,"[(1, 72, 24, 24)]"
23,..\MarioNet64_Color\frame_1421.jpg,[1]
24,..\MarioNet64_Color\frame_1423.jpg,"[(1, 74, 22, 23)]"
25,..\MarioNet64_Color\frame_1423.jpg,[1]
26,..\MarioNet64_Color\frame_1424.jpg,"[(1, 79, 32, 25)]"
27,..\MarioNet64_Color\frame_1424.jpg,[1]
28,..\MarioNet64_Color\frame_1425.jpg,"[(1, 79, 32, 25)]"
29,..\MarioNet64_Color\frame_1425.jpg,[1]
30,..\MarioNet64_Color\frame_1426.jpg,"[(15, 86, 29, 21)]"
31,..\MarioNet64_Color\frame_1426.jpg,[1]
32,..\MarioNet64_Color\frame_1427.jpg,"[(15, 86, 29, 21)]"
33,..\MarioNet64_Color\frame_1427.jpg,[1]
34,..\MarioNet64_Color\frame_1428.jpg,"[(23, 87, 32, 22)]"
35,..\MarioNet64_Color\frame_1428.jpg,[1]
36,..\MarioNet64_Color\frame_1429.jpg,"[(23, 87, 32, 22)]"
37,..\MarioNet64_Color\frame_1429.jpg,[1]
38,..\MarioNet64_Color\frame_1430.jpg,"[(31, 88, 33, 24)]"
39,..\MarioNet64_Color\frame_1430.jpg,[1]
40,..\MarioNet64_Color\frame_1431.jpg,"[(31, 88, 33, 24)]"
41,..\MarioNet64_Color\frame_1431.jpg,[1]
42,..\MarioNet64_Color\frame_1432.jpg,"[(46, 92, 35, 23)]"
43,..\MarioNet64_Color\frame_1432.jpg,[1]
44,..\MarioNet64_Color\frame_1433.jpg,"[(46, 92, 35, 23)]"
45,..\MarioNet64_Color\frame_1433.jpg,[1]
46,..\MarioNet64_Color\frame_1434.jpg,"[(54, 95, 29, 19)]"
47,..\MarioNet64_Color\frame_1434.jpg,[1]
48,..\MarioNet64_Color\frame_1435.jpg,"[(54, 95, 27, 19)]"
49,..\MarioNet64_Color\frame_1435.jpg,[1]
50,..\MarioNet64_Color\frame_1436.jpg,"[(52, 103, 31, 17), (62, 99, 35, 16)]"
51,..\MarioNet64_Color\frame_1436.jpg,"[0, 1]"
52,..\MarioNet64_Color\frame_1437.jpg,"[(52, 103, 31, 17)]"
53,..\MarioNet64_Color\frame_1437.jpg,[0]
54,..\MarioNet64_Color\frame_1438.jpg,"[(71, 100, 27, 22)]"
55,..\MarioNet64_Color\frame_1438.jpg,[1]
56,..\MarioNet64_Color\frame_1439.jpg,"[(71, 100, 27, 22)]"
57,..\MarioNet64_Color\frame_1439.jpg,[1]
58,..\MarioNet64_Color\frame_1440.jpg,"[(70, 103, 36, 20)]"
59,..\MarioNet64_Color\frame_1440.jpg,[1]
60,..\MarioNet64_Color\frame_1441.jpg,"[(70, 103, 36, 20)]"
61,..\MarioNet64_Color\frame_1441.jpg,[1]
62,..\MarioNet64_Color\frame_1442.jpg,"[(79, 109, 39, 13)]"
63,..\MarioNet64_Color\frame_1442.jpg,[1]
64,..\MarioNet64_Color\frame_1444.jpg,"[(85, 110, 30, 19)]"
65,..\MarioNet64_Color\frame_1444.jpg,[1]
66,..\MarioNet64_Color\frame_1445.jpg,"[(86, 110, 29, 19)]"
67,..\MarioNet64_Color\frame_1445.jpg,[1]
68,..\MarioNet64_Color\frame_1446.jpg,"[(94, 112, 34, 17)]"
69,..\MarioNet64_Color\frame_1446.jpg,[1]
70,..\MarioNet64_Color\frame_1447.jpg,"[(94, 111, 34, 18)]"
71,..\MarioNet64_Color\frame_1447.jpg,[1]
72,..\MarioNet64_Color\frame_1450.jpg,"[(102, 118, 28, 19)]"
73,..\MarioNet64_Color\frame_1450.jpg,[1]
74,..\MarioNet64_Color\frame_1451.jpg,"[(102, 118, 28, 19)]"
75,..\MarioNet64_Color\frame_1451.jpg,[1]
76,..\MarioNet64_Color\frame_1454.jpg,"[(109, 124, 36, 17)]"
77,..\MarioNet64_Color\frame_1454.jpg,[1]
78,..\MarioNet64_Color\frame_1455.jpg,"[(109, 124, 36, 17)]"
79,..\MarioNet64_Color\frame_1455.jpg,[1]
80,..\MarioNet64_Color\frame_1458.jpg,"[(691, 96, 29, 19)]"
81,..\MarioNet64_Color\frame_1458.jpg,[1]
82,..\MarioNet64_Color\frame_1459.jpg,"[(691, 96, 29, 19)]"
83,..\MarioNet64_Color\frame_1459.jpg,[1]
84,..\MarioNet64_Color\frame_1460.jpg,"[(683, 99, 37, 15)]"
85,..\MarioNet64_Color\frame_1460.jpg,[1]
86,..\MarioNet64_Color\frame_1461.jpg,"[(683, 100, 37, 14)]"
87,..\MarioNet64_Color\frame_1461.jpg,[1]
88,..\MarioNet64_Color\frame_1464.jpg,"[(677, 102, 37, 21)]"
89,..\MarioNet64_Color\frame_1464.jpg,[1]
90,..\MarioNet64_Color\frame_1465.jpg,"[(677, 102, 37, 21)]"
91,..\MarioNet64_Color\frame_1465.jpg,[1]
92,..\MarioNet64_Color\frame_1466.jpg,"[(677, 103, 29, 18)]"
93,..\MarioNet64_Color\frame_1466.jpg,[1]
94,..\MarioNet64_Color\frame_1467.jpg,"[(678, 103, 28, 18)]"
95,..\MarioNet64_Color\frame_1467.jpg,[1]
96,..\MarioNet64_Color\frame_1468.jpg,"[(670, 107, 39, 15)]"
97,..\MarioNet64_Color\frame_1468.jpg,[1]
98,..\MarioNet64_Color\frame_1469.jpg,"[(670, 107, 39, 15)]"
99,..\MarioNet64_Color\frame_1469.jpg,[1]
100,..\MarioNet64_Color\frame_1470.jpg,"[(660, 107, 38, 17)]"
101,..\MarioNet64_Color\frame_1470.jpg,[1]
102,..\MarioNet64_Color\frame_1471.jpg,"[(662, 107, 36, 17)]"
103,..\MarioNet64_Color\frame_1471.jpg,[1]
104,..\MarioNet64_Color\frame_1486.jpg,"[(636, 115, 30, 18)]"
105,..\MarioNet64_Color\frame_1486.jpg,[1]
106,..\MarioNet64_Color\frame_1487.jpg,"[(636, 115, 30, 18)]"
107,..\MarioNet64_Color\frame_1487.jpg,[1]
108,..\MarioNet64_Color\frame_1488.jpg,"[(632, 115, 32, 17)]"
109,..\MarioNet64_Color\frame_1488.jpg,[1]
110,..\MarioNet64_Color\frame_1489.jpg,"[(632, 115, 32, 17)]"
111,..\MarioNet64_Color\frame_1489.jpg,[1]
112,..\MarioNet64_Color\frame_1495.jpg,"[(620, 118, 37, 14)]"
113,..\MarioNet64_Color\frame_1495.jpg,[1]
114,..\MarioNet64_Color\frame_1522.jpg,"[(591, 101, 35, 17)]"
115,..\MarioNet64_Color\frame_1522.jpg,[1]
116,..\MarioNet64_Color\frame_1523.jpg,"[(591, 101, 35, 17)]"
117,..\MarioNet64_Color\frame_1523.jpg,[1]
118,..\MarioNet64_Color\frame_1526.jpg,"[(582, 98, 35, 16)]"
119,..\MarioNet64_Color\frame_1526.jpg,[1]
120,..\MarioNet64_Color\frame_1527.jpg,"[(582, 98, 35, 16)]"
121,..\MarioNet64_Color\frame_1527.jpg,[1]
122,..\MarioNet64_Color\frame_1582.jpg,"[(512, 29, 27, 21)]"
123,..\MarioNet64_Color\frame_1582.jpg,[6]
124,..\MarioNet64_Color\frame_1583.jpg,"[(510, 29, 29, 21)]"
125,..\MarioNet64_Color\frame_1583.jpg,[6]
126,..\MarioNet64_Color\frame_1604.jpg,"[(484, 7, 32, 20)]"
127,..\MarioNet64_Color\frame_1604.jpg,[6]
128,..\MarioNet64_Color\frame_1605.jpg,"[(484, 7, 32, 20)]"
129,..\MarioNet64_Color\frame_1605.jpg,[6]
130,..\MarioNet64_Color\frame_1612.jpg,"[(476, 3, 35, 16)]"
131,..\MarioNet64_Color\frame_1612.jpg,[6]
132,..\MarioNet64_Color\frame_1613.jpg,"[(476, 3, 35, 16)]"
133,..\MarioNet64_Color\frame_1613.jpg,[6]
134,..\MarioNet64_Color\frame_1680.jpg,"[(668, 3, 35, 16)]"
135,..\MarioNet64_Color\frame_1680.jpg,[6]
136,..\MarioNet64_Color\frame_1681.jpg,"[(668, 3, 35, 16)]"
137,..\MarioNet64_Color\frame_1681.jpg,[6]
138,..\MarioNet64_Color\frame_2580.jpg,"[(302, 83, 99, 71)]"
139,..\MarioNet64_Color\frame_2580.jpg,[0]
140,..\MarioNet64_Color\frame_2581.jpg,"[(302, 83, 99, 71)]"
141,..\MarioNet64_Color\frame_2581.jpg,[0]
142,..\MarioNet64_Color\frame_2582.jpg,"[(303, 64, 129, 132)]"
143,..\MarioNet64_Color\frame_2582.jpg,[0]
144,..\MarioNet64_Color\frame_2583.jpg,"[(303, 64, 129, 132)]"
145,..\MarioNet64_Color\frame_2583.jpg,[0]
146,..\MarioNet64_Color\frame_2584.jpg,"[(310, 62, 115, 179)]"
147,..\MarioNet64_Color\frame_2584.jpg,[0]
148,..\MarioNet64_Color\frame_2585.jpg,"[(310, 62, 115, 179)]"
149,..\MarioNet64_Color\frame_2585.jpg,[0]
150,..\MarioNet64_Color\frame_2586.jpg,"[(322, 72, 87, 172)]"
151,..\MarioNet64_Color\frame_2586.jpg,[0]
152,..\MarioNet64_Color\frame_2587.jpg,"[(322, 72, 87, 172)]"
153,..\MarioNet64_Color\frame_2587.jpg,[0]
154,..\MarioNet64_Color\frame_2588.jpg,"[(331, 89, 75, 160)]"
155,..\MarioNet64_Color\frame_2588.jpg,[0]
156,..\MarioNet64_Color\frame_2589.jpg,"[(331, 90, 75, 159)]"
157,..\MarioNet64_Color\frame_2589.jpg,[0]
158,..\MarioNet64_Color\frame_2590.jpg,"[(337, 103, 68, 151)]"
159,..\MarioNet64_Color\frame_2590.jpg,[0]
160,..\MarioNet64_Color\frame_2591.jpg,"[(337, 103, 68, 151)]"
161,..\MarioNet64_Color\frame_2591.jpg,[0]
162,..\MarioNet64_Color\frame_2592.jpg,"[(339, 114, 65, 143)]"
163,..\MarioNet64_Color\frame_2592.jpg,[0]
164,..\MarioNet64_Color\frame_2593.jpg,"[(339, 114, 65, 143)]"
165,..\MarioNet64_Color\frame_2593.jpg,[0]
166,..\MarioNet64_Color\frame_2594.jpg,"[(341, 124, 63, 137)]"
167,..\MarioNet64_Color\frame_2594.jpg,[0]
168,..\MarioNet64_Color\frame_2595.jpg,"[(341, 124, 63, 137)]"
169,..\MarioNet64_Color\frame_2595.jpg,[0]
170,..\MarioNet64_Color\frame_2596.jpg,"[(341, 133, 61, 130)]"
171,..\MarioNet64_Color\frame_2596.jpg,[0]
172,..\MarioNet64_Color\frame_2597.jpg,"[(341, 133, 61, 130)]"
173,..\MarioNet64_Color\frame_2597.jpg,[0]
174,..\MarioNet64_Color\frame_2598.jpg,"[(343, 140, 59, 125)]"
175,..\MarioNet64_Color\frame_2598.jpg,[0]
176,..\MarioNet64_Color\frame_2599.jpg,"[(343, 140, 59, 125)]"
177,..\MarioNet64_Color\frame_2599.jpg,[0]
178,..\MarioNet64_Color\frame_2600.jpg,"[(343, 146, 57, 120)]"
179,..\MarioNet64_Color\frame_2600.jpg,[0]
180,..\MarioNet64_Color\frame_2601.jpg,"[(343, 146, 57, 120)]"
181,..\MarioNet64_Color\frame_2601.jpg,[0]
182,..\MarioNet64_Color\frame_2602.jpg,"[(345, 151, 56, 117)]"
183,..\MarioNet64_Color\frame_2602.jpg,[0]
184,..\MarioNet64_Color\frame_2603.jpg,"[(345, 151, 56, 117)]"
185,..\MarioNet64_Color\frame_2603.jpg,[0]
186,..\MarioNet64_Color\frame_2604.jpg,"[(346, 153, 54, 115)]"
187,..\MarioNet64_Color\frame_2604.jpg,[0]
188,..\MarioNet64_Color\frame_2605.jpg,"[(346, 153, 54, 115)]"
189,..\MarioNet64_Color\frame_2605.jpg,[0]
190,..\MarioNet64_Color\frame_2606.jpg,"[(346, 156, 55, 112)]"
191,..\MarioNet64_Color\frame_2606.jpg,[0]
192,..\MarioNet64_Color\frame_2607.jpg,"[(346, 156, 55, 112)]"
193,..\MarioNet64_Color\frame_2607.jpg,[0]
194,..\MarioNet64_Color\frame_2608.jpg,"[(347, 157, 54, 111)]"
195,..\MarioNet64_Color\frame_2608.jpg,[0]
196,..\MarioNet64_Color\frame_2609.jpg,"[(347, 157, 54, 111)]"
197,..\MarioNet64_Color\frame_2609.jpg,[0]
198,..\MarioNet64_Color\frame_2610.jpg,"[(347, 158, 55, 111)]"
199,..\MarioNet64_Color\frame_2610.jpg,[0]
200,..\MarioNet64_Color\frame_2611.jpg,"[(347, 158, 54, 111)]"
201,..\MarioNet64_Color\frame_2611.jpg,[0]
202,..\MarioNet64_Color\frame_2612.jpg,"[(348, 157, 55, 112)]"
203,..\MarioNet64_Color\frame_2612.jpg,[0]
204,..\MarioNet64_Color\frame_2613.jpg,"[(348, 157, 55, 112)]"
205,..\MarioNet64_Color\frame_2613.jpg,[0]
206,..\MarioNet64_Color\frame_2614.jpg,"[(348, 155, 57, 115)]"
207,..\MarioNet64_Color\frame_2614.jpg,[0]
208,..\MarioNet64_Color\frame_2615.jpg,"[(348, 155, 57, 115)]"
209,..\MarioNet64_Color\frame_2615.jpg,[0]
210,..\MarioNet64_Color\frame_2616.jpg,"[(348, 153, 58, 118)]"
211,..\MarioNet64_Color\frame_2616.jpg,[0]
212,..\MarioNet64_Color\frame_2617.jpg,"[(348, 153, 58, 118)]"
213,..\MarioNet64_Color\frame_2617.jpg,[0]
214,..\MarioNet64_Color\frame_2618.jpg,"[(348, 151, 60, 122)]"
215,..\MarioNet64_Color\frame_2618.jpg,[0]
216,..\MarioNet64_Color\frame_2619.jpg,"[(348, 151, 60, 122)]"
217,..\MarioNet64_Color\frame_2619.jpg,[0]
218,..\MarioNet64_Color\frame_2620.jpg,"[(349, 147, 63, 129)]"
219,..\MarioNet64_Color\frame_2620.jpg,[0]
220,..\MarioNet64_Color\frame_2621.jpg,"[(349, 147, 63, 129)]"
221,..\MarioNet64_Color\frame_2621.jpg,[0]
222,..\MarioNet64_Color\frame_2622.jpg,"[(349, 144, 66, 136)]"
223,..\MarioNet64_Color\frame_2622.jpg,[0]
224,..\MarioNet64_Color\frame_2623.jpg,"[(349, 144, 66, 136)]"
225,..\MarioNet64_Color\frame_2623.jpg,[0]
226,..\MarioNet64_Color\frame_2624.jpg,"[(349, 142, 69, 145)]"
227,..\MarioNet64_Color\frame_2624.jpg,[0]
228,..\MarioNet64_Color\frame_2625.jpg,"[(349, 142, 69, 145)]"
229,..\MarioNet64_Color\frame_2625.jpg,[0]
230,..\MarioNet64_Color\frame_2626.jpg,"[(350, 140, 73, 157)]"
231,..\MarioNet64_Color\frame_2626.jpg,[0]
232,..\MarioNet64_Color\frame_2627.jpg,"[(349, 140, 74, 157)]"
233,..\MarioNet64_Color\frame_2627.jpg,[0]
234,..\MarioNet64_Color\frame_2628.jpg,"[(349, 138, 79, 171)]"
235,..\MarioNet64_Color\frame_2628.jpg,[0]
236,..\MarioNet64_Color\frame_2629.jpg,"[(349, 138, 79, 171)]"
237,..\MarioNet64_Color\frame_2629.jpg,[0]
238,..\MarioNet64_Color\frame_2630.jpg,"[(350, 140, 86, 187)]"
239,..\MarioNet64_Color\frame_2630.jpg,[0]
240,..\MarioNet64_Color\frame_2631.jpg,"[(350, 140, 86, 187)]"
241,..\MarioNet64_Color\frame_2631.jpg,[0]
242,..\MarioNet64_Color\frame_2632.jpg,"[(351, 144, 92, 207)]"
243,..\MarioNet64_Color\frame_2632.jpg,[0]
244,..\MarioNet64_Color\frame_2633.jpg,"[(351, 144, 92, 207)]"
245,..\MarioNet64_Color\frame_2633.jpg,[0]
246,..\MarioNet64_Color\frame_2634.jpg,"[(351, 157, 100, 223)]"
247,..\MarioNet64_Color\frame_2634.jpg,[0]
