MarioNet64_Color\frame_5110.jpg  1  503 205 19 36
MarioNet64_Color\frame_5111.jpg  1  501 206 21 28
MarioNet64_Color\frame_5112.jpg  2  501 197 28 36  414 70 14 12
MarioNet64_Color\frame_5113.jpg  2  500 197 29 36  414 70 13 12
MarioNet64_Color\frame_5114.jpg  2  500 198 29 37  415 69 14 14
MarioNet64_Color\frame_5115.jpg  2  500 198 29 37  415 69 14 15
MarioNet64_Color\frame_5116.jpg  2  502 199 36 35  415 71 18 12
MarioNet64_Color\frame_5117.jpg  2  502 199 36 35  415 71 18 12
MarioNet64_Color\frame_5118.jpg  2  503 191 35 35  420 64 13 16
MarioNet64_Color\frame_5119.jpg  2  503 191 35 35  420 64 13 16
MarioNet64_Color\frame_5120.jpg  2  528 233 10 11  504 190 34 35
MarioNet64_Color\frame_5121.jpg  2  528 233 10 11  504 190 34 35
MarioNet64_Color\frame_5122.jpg  2  509 190 31 35  423 69 10 13
MarioNet64_Color\frame_5123.jpg  2  507 190 33 35  423 69 11 13
MarioNet64_Color\frame_5124.jpg  2  510 189 35 37  421 71 13 18
MarioNet64_Color\frame_5125.jpg  2  510 189 35 39  421 71 12 18
MarioNet64_Color\frame_5126.jpg  1  510 190 35 44
MarioNet64_Color\frame_5127.jpg  1  510 190 35 44
MarioNet64_Color\frame_5128.jpg  3  511 190 35 44  425 94 10 10  423 80 10 11
MarioNet64_Color\frame_5129.jpg  3  511 190 35 44  425 94 10 10  423 80 10 11
MarioNet64_Color\frame_5130.jpg  1  511 191 35 43
MarioNet64_Color\frame_5131.jpg  1  511 191 35 43
MarioNet64_Color\frame_5132.jpg  1  517 192 28 49
MarioNet64_Color\frame_5133.jpg  1  517 192 28 49
MarioNet64_Color\frame_5134.jpg  1  514 193 39 49
MarioNet64_Color\frame_5135.jpg  1  514 193 39 49
MarioNet64_Color\frame_5136.jpg  2  516 197 39 29  422 96 12 11
MarioNet64_Color\frame_5137.jpg  1  516 197 39 29
MarioNet64_Color\frame_5138.jpg  2  517 193 37 34  422 100 12 9
MarioNet64_Color\frame_5139.jpg  2  517 193 37 34  422 100 12 9
MarioNet64_Color\frame_5140.jpg  2  518 199 37 26  418 104 15 12
MarioNet64_Color\frame_5141.jpg  2  518 199 37 26  418 104 15 12
MarioNet64_Color\frame_5142.jpg  2  520 198 35 27  421 119 12 9
MarioNet64_Color\frame_5143.jpg  2  520 198 35 27  421 119 12 9
MarioNet64_Color\frame_5144.jpg  2  518 198 37 27  421 119 12 10
MarioNet64_Color\frame_5145.jpg  2  518 198 37 27  419 111 14 17
MarioNet64_Color\frame_5146.jpg  2  518 198 37 27  419 111 14 17
MarioNet64_Color\frame_5147.jpg  2  518 197 37 28  419 111 14 17
MarioNet64_Color\frame_5148.jpg  2  518 197 37 28  419 111 14 17
MarioNet64_Color\frame_5149.jpg  2  518 197 37 28  419 111 14 17
MarioNet64_Color\frame_5150.jpg  2  518 197 37 28  419 111 14 17
MarioNet64_Color\frame_5151.jpg  2  518 197 37 28  419 111 14 17
MarioNet64_Color\frame_5152.jpg  2  518 197 37 28  419 111 14 17
MarioNet64_Color\frame_5153.jpg  2  518 197 37 28  419 111 14 17
MarioNet64_Color\frame_5154.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5155.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5156.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5157.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5158.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5159.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5160.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5161.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5162.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5163.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5164.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5165.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5166.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5167.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5168.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5169.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5170.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5171.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5172.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5173.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5174.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5175.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5176.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5177.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5178.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5179.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5180.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5181.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5182.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5183.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5184.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5185.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5186.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5187.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5188.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5189.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5190.jpg  2  518 197 37 28  419 104 14 24
MarioNet64_Color\frame_5191.jpg  2  518 197 37 28  419 104 14 24
